,consumer_id,test_name,metric_success_Answer Relevancy,metric_success_Contextual Relevancy,metric_success_Hallucination,score_Answer Relevancy,score_Contextual Relevancy,score_Hallucination,success_Answer Relevancy,success_Contextual Relevancy,success_Hallucination,threshold_Answer Relevancy,threshold_Contextual Relevancy,threshold_Hallucination
0,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q1:gemini-1.5-pro:lexical_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
1,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q1:gemini-1.5-pro:lexical_search_1_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
2,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q1:gemini-1.5-pro:similarity_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
3,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q1:gemini-1.5-pro:similarity_search_1_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
4,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q2:gemini-1.5-pro:lexical_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
5,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q2:gemini-1.5-pro:lexical_search_1_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
6,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q2:gemini-1.5-pro:similarity_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
7,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q2:gemini-1.5-pro:similarity_search_1_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
8,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q3:gemini-1.5-pro:lexical_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
9,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q3:gemini-1.5-pro:lexical_search_1_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
10,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q3:gemini-1.5-pro:similarity_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
11,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q3:gemini-1.5-pro:similarity_search_1_hop,False,True,True,0.0,1.0,0.0,False,False,False,0.5,0.5,0.5
12,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q4:gemini-1.5-pro:lexical_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
13,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q4:gemini-1.5-pro:lexical_search_1_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
14,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q4:gemini-1.5-pro:similarity_search_0_hop,True,True,True,1.0,0.9411764705882352,0.0,True,True,True,0.5,0.5,0.5
15,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q4:gemini-1.5-pro:similarity_search_1_hop,True,True,True,0.625,0.9411764705882352,0.0,True,True,True,0.5,0.5,0.5
16,Beatris270_Bogan287_5b3645de-a2d0-d016-0839-bab3757c4c58_deepeval-Copy1.csv,Q5:gemini-1.5-pro:lexical_search_0_hop,True,True,True,1.0,1.0,0.0,True,True,True,0.5,0.5,0.5
